policy,mode,seed,delivery_ratio,p95_latency_ms,ppo_loss,all_same_ratio,fallback_strict,fallback_fallback1,fallback_fallback2,cluster_hist
trained,light,0,1.0,46.33870284413085,,0.7,12292,0,0,"{""0-10"": {""0"": 27, ""3"": 1, ""2"": 1, ""1"": 1}, ""1-11"": {""1"": 3, ""0"": 25, ""4"": 2}, ""3-13"": {""5"": 1, ""3"": 1, ""0"": 25, ""1"": 3}}"
trained,light,1,1.0,46.577200912906555,,0.6,12747,0,0,"{""0-10"": {""2"": 1, ""0"": 25, ""1"": 3, ""5"": 1}, ""1-11"": {""1"": 3, ""0"": 21, ""3"": 4, ""4"": 2}, ""3-13"": {""4"": 1, ""0"": 26, ""3"": 1, ""1"": 2}}"
trained,light,2,1.0,47.62063713278343,,0.6333333333333333,12508,0,0,"{""0-10"": {""0"": 25, ""2"": 1, ""1"": 3, ""5"": 1}, ""1-11"": {""4"": 5, ""0"": 24, ""3"": 1}, ""3-13"": {""0"": 28, ""2"": 1, ""1"": 1}}"
trained,light,3,1.0,45.76822109918257,,0.5333333333333333,12491,0,0,"{""0-10"": {""0"": 26, ""1"": 2, ""2"": 1, ""5"": 1}, ""1-11"": {""2"": 1, ""3"": 1, ""0"": 22, ""4"": 3, ""1"": 3}, ""3-13"": {""1"": 3, ""0"": 27}}"
trained,light,4,1.0,51.67593225105702,,0.7333333333333333,12086,0,0,"{""0-10"": {""0"": 28, ""1"": 2}, ""1-11"": {""4"": 4, ""0"": 24, ""3"": 1, ""5"": 1}, ""3-13"": {""0"": 29, ""1"": 1}}"
trained,medium,0,1.0,55.22677058019453,,0.3333333333333333,14154,0,0,"{""0-10"": {""0"": 23, ""5"": 2, ""2"": 3, ""1"": 2}, ""1-11"": {""5"": 3, ""0"": 18, ""4"": 4, ""3"": 3, ""1"": 2}, ""3-13"": {""2"": 1, ""0"": 22, ""1"": 6, ""3"": 1}}"
trained,medium,1,1.0,58.54391501925943,,0.2,14968,0,0,"{""0-10"": {""0"": 23, ""1"": 4, ""5"": 2, ""4"": 1}, ""1-11"": {""2"": 1, ""5"": 4, ""4"": 7, ""0"": 14, ""1"": 3, ""3"": 1}, ""3-13"": {""5"": 1, ""2"": 2, ""0"": 18, ""1"": 7, ""4"": 2}}"
trained,medium,2,1.0,57.58440081417792,,0.5,14551,0,0,"{""0-10"": {""4"": 1, ""0"": 23, ""1"": 4, ""5"": 1, ""3"": 1}, ""1-11"": {""3"": 2, ""0"": 17, ""1"": 2, ""4"": 6, ""5"": 2, ""2"": 1}, ""3-13"": {""0"": 27, ""4"": 1, ""1"": 2}}"
trained,medium,3,1.0,56.65956818698726,,0.5,13974,0,0,"{""0-10"": {""5"": 1, ""0"": 24, ""1"": 3, ""2"": 1, ""4"": 1}, ""1-11"": {""4"": 5, ""0"": 21, ""1"": 3, ""5"": 1}, ""3-13"": {""1"": 5, ""2"": 1, ""0"": 24}}"
trained,medium,4,1.0,61.43155118881677,,0.4,14117,0,0,"{""0-10"": {""1"": 4, ""0"": 24, ""2"": 1, ""3"": 1}, ""1-11"": {""1"": 4, ""0"": 21, ""5"": 1, ""3"": 3, ""4"": 1}, ""3-13"": {""1"": 6, ""0"": 20, ""2"": 3, ""4"": 1}}"
trained,heavy,0,1.0,59.271828401000676,,0.06666666666666667,18318,0,0,"{""0-10"": {""3"": 1, ""0"": 5, ""2"": 4, ""5"": 9, ""4"": 5, ""1"": 6}, ""1-11"": {""1"": 17, ""5"": 3, ""4"": 3, ""3"": 4, ""0"": 3}, ""3-13"": {""1"": 12, ""2"": 6, ""0"": 12}}"
trained,heavy,1,1.0,66.32384894134594,,0.06666666666666667,18419,0,0,"{""0-10"": {""3"": 3, ""4"": 5, ""5"": 5, ""0"": 6, ""2"": 4, ""1"": 7}, ""1-11"": {""4"": 13, ""1"": 2, ""3"": 7, ""5"": 2, ""0"": 4, ""2"": 2}, ""3-13"": {""4"": 1, ""1"": 14, ""3"": 2, ""0"": 13}}"
trained,heavy,2,1.0,68.34380702122779,,0.0,18922,0,0,"{""0-10"": {""2"": 9, ""3"": 7, ""5"": 5, ""0"": 4, ""4"": 2, ""1"": 3}, ""1-11"": {""3"": 14, ""1"": 10, ""0"": 2, ""2"": 2, ""4"": 1, ""5"": 1}, ""3-13"": {""0"": 21, ""5"": 1, ""4"": 5, ""2"": 3}}"
trained,heavy,3,1.0,67.95605532300851,,0.0,18441,0,0,"{""0-10"": {""1"": 7, ""5"": 8, ""3"": 4, ""4"": 6, ""0"": 2, ""2"": 3}, ""1-11"": {""4"": 8, ""0"": 6, ""3"": 8, ""1"": 5, ""5"": 3}, ""3-13"": {""3"": 1, ""0"": 20, ""1"": 2, ""4"": 5, ""5"": 1, ""2"": 1}}"
trained,heavy,4,1.0,66.95580854442517,,0.0,17905,0,0,"{""0-10"": {""5"": 1, ""1"": 20, ""2"": 6, ""4"": 1, ""0"": 2}, ""1-11"": {""1"": 1, ""3"": 7, ""4"": 12, ""5"": 9, ""2"": 1}, ""3-13"": {""1"": 12, ""0"": 17, ""3"": 1}}"
trained,burst,0,1.0,92.6289317563449,,0.0,22896,0,0,"{""0-10"": {""4"": 1, ""1"": 25, ""3"": 2, ""5"": 2}, ""1-11"": {""1"": 4, ""4"": 12, ""3"": 12, ""2"": 1, ""5"": 1}, ""3-13"": {""2"": 12, ""0"": 10, ""1"": 8}}"
trained,burst,1,1.0,72.88338225222512,,0.0,24274,0,0,"{""0-10"": {""3"": 13, ""5"": 17}, ""1-11"": {""4"": 14, ""1"": 9, ""5"": 4, ""2"": 3}, ""3-13"": {""1"": 19, ""4"": 5, ""2"": 2, ""0"": 4}}"
trained,burst,2,1.0,82.93431945614311,,0.0,23743,0,0,"{""0-10"": {""3"": 15, ""4"": 6, ""5"": 9}, ""1-11"": {""3"": 2, ""4"": 13, ""1"": 11, ""5"": 4}, ""3-13"": {""1"": 7, ""0"": 22, ""2"": 1}}"
trained,burst,3,1.0,70.27296811650329,,0.1,23034,0,0,"{""0-10"": {""4"": 2, ""1"": 12, ""0"": 12, ""3"": 2, ""2"": 2}, ""1-11"": {""4"": 12, ""3"": 3, ""5"": 13, ""1"": 2}, ""3-13"": {""4"": 1, ""2"": 5, ""1"": 18, ""3"": 2, ""0"": 3, ""5"": 1}}"
trained,burst,4,1.0,69.85169813468268,,0.03333333333333333,23166,0,0,"{""0-10"": {""1"": 4, ""5"": 20, ""2"": 4, ""4"": 2}, ""1-11"": {""5"": 1, ""3"": 5, ""1"": 15, ""4"": 5, ""0"": 4}, ""3-13"": {""0"": 10, ""1"": 12, ""3"": 2, ""5"": 4, ""2"": 2}}"
fixed0,light,0,1.0,44.32124380074413,,1.0,11793,0,0,"{""0-10"": {""0"": 30}, ""1-11"": {""0"": 30}, ""3-13"": {""0"": 30}}"
fixed0,light,1,1.0,55.73223314169288,,1.0,12018,0,0,"{""0-10"": {""0"": 30}, ""1-11"": {""0"": 30}, ""3-13"": {""0"": 30}}"
fixed0,light,2,1.0,46.60968120982454,,1.0,12099,0,0,"{""0-10"": {""0"": 30}, ""1-11"": {""0"": 30}, ""3-13"": {""0"": 30}}"
fixed0,light,3,1.0,51.26480685523561,,1.0,11958,0,0,"{""0-10"": {""0"": 30}, ""1-11"": {""0"": 30}, ""3-13"": {""0"": 30}}"
fixed0,light,4,1.0,51.75178322216698,,1.0,11811,0,0,"{""0-10"": {""0"": 30}, ""1-11"": {""0"": 30}, ""3-13"": {""0"": 30}}"
fixed0,medium,0,1.0,122.5811390869872,,1.0,13128,0,0,"{""0-10"": {""0"": 30}, ""1-11"": {""0"": 30}, ""3-13"": {""0"": 30}}"
fixed0,medium,1,1.0,133.98203516285093,,1.0,13338,0,0,"{""0-10"": {""0"": 30}, ""1-11"": {""0"": 30}, ""3-13"": {""0"": 30}}"
fixed0,medium,2,1.0,84.50410769771416,,1.0,13416,0,0,"{""0-10"": {""0"": 30}, ""1-11"": {""0"": 30}, ""3-13"": {""0"": 30}}"
fixed0,medium,3,1.0,91.62516534620839,,1.0,13155,0,0,"{""0-10"": {""0"": 30}, ""1-11"": {""0"": 30}, ""3-13"": {""0"": 30}}"
fixed0,medium,4,1.0,121.21294455446218,,1.0,13092,0,0,"{""0-10"": {""0"": 30}, ""1-11"": {""0"": 30}, ""3-13"": {""0"": 30}}"
fixed0,heavy,0,0.9933030375508252,426.6280977830479,,1.0,14522,0,0,"{""0-10"": {""0"": 30}, ""1-11"": {""0"": 30}, ""3-13"": {""0"": 30}}"
fixed0,heavy,1,0.9937977099236641,445.18547039317684,,1.0,14588,0,0,"{""0-10"": {""0"": 30}, ""1-11"": {""0"": 30}, ""3-13"": {""0"": 30}}"
fixed0,heavy,2,0.9990516832622096,405.32981514441275,,1.0,14798,0,0,"{""0-10"": {""0"": 30}, ""1-11"": {""0"": 30}, ""3-13"": {""0"": 30}}"
fixed0,heavy,3,1.0,351.68526876420447,,1.0,14412,0,0,"{""0-10"": {""0"": 30}, ""1-11"": {""0"": 30}, ""3-13"": {""0"": 30}}"
fixed0,heavy,4,1.0,397.93931799320046,,1.0,14349,0,0,"{""0-10"": {""0"": 30}, ""1-11"": {""0"": 30}, ""3-13"": {""0"": 30}}"
fixed0,burst,0,0.8546134172732638,452.52370932942296,,1.0,16539,0,0,"{""0-10"": {""0"": 30}, ""1-11"": {""0"": 30}, ""3-13"": {""0"": 30}}"
fixed0,burst,1,0.8588421887390959,452.597929273869,,1.0,16483,0,0,"{""0-10"": {""0"": 30}, ""1-11"": {""0"": 30}, ""3-13"": {""0"": 30}}"
fixed0,burst,2,0.8678250683326826,452.3938488622346,,1.0,16886,0,0,"{""0-10"": {""0"": 30}, ""1-11"": {""0"": 30}, ""3-13"": {""0"": 30}}"
fixed0,burst,3,0.8687872763419483,452.40146193614726,,1.0,16630,0,0,"{""0-10"": {""0"": 30}, ""1-11"": {""0"": 30}, ""3-13"": {""0"": 30}}"
fixed0,burst,4,0.867776886035313,452.28963915614867,,1.0,16388,0,0,"{""0-10"": {""0"": 30}, ""1-11"": {""0"": 30}, ""3-13"": {""0"": 30}}"
