policy,mode,seed,delivery_ratio,p95_latency_ms,goodput_mbps,reward_total,avg_latency_ms,p50_latency_ms,undelivered
hier,light,0,1.0,45.777925917334585,13.456,0.5907820463060557,37.78987327859006,35.4637259191702,0
hier,light,1,1.0,50.57200973981887,13.8,0.5900897492534322,39.02783408176478,35.89874122340916,0
hier,light,2,1.0,56.00000000000023,13.768,0.5894188995219666,38.93279504142062,35.64139841661222,0
hier,light,3,1.0,46.69303934442671,13.596,0.5909613856558422,38.19040377279044,35.356496281358886,0
hier,light,4,1.0,57.79100415471629,13.564,0.582807649942409,39.96451105499604,35.83302541867761,0
hier,medium,0,1.0,60.74707625608587,15.016,0.6624637287669533,41.40649859509756,36.73715539175896,0
hier,medium,1,1.0,57.206918525288074,15.284,0.6675249181798709,41.02758011592957,38.24823696885835,0
hier,medium,2,1.0,61.79749035276724,15.28,0.6613000355533111,42.87848881701503,41.97483349191748,0
hier,medium,3,1.0,56.18237731500135,14.908,0.6646448254491649,40.610971865292726,37.03027040795814,0
hier,medium,4,1.0,63.83373701926082,15.06,0.660132178778094,42.71354963372883,41.89951728458027,0
hier,heavy,0,1.0,58.46130617851327,16.724,0.7891643787580291,44.93643512989785,44.80000000000018,0
hier,heavy,1,1.0,60.43387131311724,16.768,0.7903373221575373,44.547354002753536,44.80000000000018,0
hier,heavy,2,1.0,67.75260650668274,16.872,0.7902121754330178,45.77975035264237,44.80000000000018,0
hier,heavy,3,1.0,67.20000000000027,16.324,0.780495509131575,45.959457303129426,44.80000000000018,0
hier,heavy,4,1.0,67.19999999999891,16.464,0.7845513196462376,45.2549618176049,44.80000000000018,0
hier,burst,0,1.0,79.06103915163429,20.332,0.900993998877929,50.49810821956678,45.86314206078566,0
hier,burst,1,1.0,101.88823847016383,20.176,0.8906330857328811,55.69978190306657,47.31690437931866,0
hier,burst,2,1.0,78.82200776365198,20.488,0.9013817163955514,49.974376275035425,45.676848309272145,0
hier,burst,3,1.0,73.89666784218795,20.12,0.9013610264379278,48.12277686011174,44.80000000000018,0
hier,burst,4,1.0,89.59999999999854,19.936,0.8946614213620866,50.142398221234636,44.90321438783508,0
ospf,light,0,1.0,44.32124380074413,13.456,0.5955244914492913,36.96570638991394,35.56909807220177,0
ospf,light,1,1.0,55.73223314169288,13.8,0.5889946981518028,39.343180589883765,36.037877419595475,0
ospf,light,2,1.0,46.60968120982454,13.768,0.5977613001674624,37.32970611618306,35.494629356479436,0
ospf,light,3,1.0,51.26480685523561,13.596,0.5920900669787202,38.102578012119956,35.533178871214204,0
ospf,light,4,1.0,51.75178322216698,13.564,0.5899100571032391,38.53729364660461,35.742994793348316,0
ospf,medium,0,1.0,122.5811390869872,15.016,0.6205852365660602,54.78303486621674,51.50270862467153,0
ospf,medium,1,1.0,133.98203516285093,15.284,0.5601612161573293,73.58731061522596,64.57241570177825,0
ospf,medium,2,1.0,84.50410769771416,15.28,0.6230347142704862,54.01614618540747,54.92398515511741,0
ospf,medium,3,1.0,91.62516534620839,14.908,0.6156964064187234,54.85611318359918,50.138392664924595,0
ospf,medium,4,1.0,121.21294455446218,15.06,0.6097888120095523,58.35461208252133,49.89887716027556,0
ospf,heavy,0,0.9933030375508252,426.6280977830479,16.612,0.5866761463701231,174.78458663889782,144.8335744257338,28
ospf,heavy,1,0.9937977099236641,445.18547039317684,16.664,0.566467670004757,195.9922508751894,166.58743837748318,26
ospf,heavy,2,0.9990516832622096,405.32981514441275,16.856,0.5771383650369809,179.87221923449547,150.46835607514583,4
ospf,heavy,3,1.0,351.68526876420447,16.324,0.5739841362018258,169.89686961908976,155.89609708247917,0
ospf,heavy,4,1.0,397.93931799320046,16.464,0.5877065742823634,168.52666526554395,173.1243494046206,0
ospf,burst,0,0.8546134172732638,452.52370932942296,17.376,0.5359202997218786,269.1243863721175,344.4880551075199,739
ospf,burst,1,0.8588421887390959,452.597929273869,17.328,0.5312268286461845,272.7043662781551,377.98380464577286,712
ospf,burst,2,0.8678250683326826,452.3938488622346,17.78,0.5388132749613729,265.2294615736658,347.434124512798,677
ospf,burst,3,0.8687872763419483,452.40146193614726,17.48,0.5403507642750028,267.7093367302048,360.44405350099737,660
ospf,burst,4,0.867776886035313,452.28963915614867,17.3,0.5353956709404375,271.6937929798798,380.2931740141139,659
ecmp,light,0,1.0,44.32124380074413,13.456,0.5955244914492913,36.96570638991394,35.56909807220177,0
ecmp,light,1,1.0,55.73223314169288,13.8,0.5889946981518028,39.343180589883765,36.037877419595475,0
ecmp,light,2,1.0,46.60968120982454,13.768,0.5977613001674624,37.32970611618306,35.494629356479436,0
ecmp,light,3,1.0,51.26480685523561,13.596,0.5920900669787202,38.102578012119956,35.533178871214204,0
ecmp,light,4,1.0,51.75178322216698,13.564,0.5899100571032391,38.53729364660461,35.742994793348316,0
ecmp,medium,0,1.0,122.5811390869872,15.016,0.6205852365660602,54.78303486621674,51.50270862467153,0
ecmp,medium,1,1.0,133.98203516285093,15.284,0.5601612161573293,73.58731061522596,64.57241570177825,0
ecmp,medium,2,1.0,84.50410769771416,15.28,0.6230347142704862,54.01614618540747,54.92398515511741,0
ecmp,medium,3,1.0,91.62516534620839,14.908,0.6156964064187234,54.85611318359918,50.138392664924595,0
ecmp,medium,4,1.0,121.21294455446218,15.06,0.6097888120095523,58.35461208252133,49.89887716027556,0
ecmp,heavy,0,0.9933030375508252,426.6280977830479,16.612,0.5866761463701231,174.78458663889782,144.8335744257338,28
ecmp,heavy,1,0.9937977099236641,445.18547039317684,16.664,0.566467670004757,195.9922508751894,166.58743837748318,26
ecmp,heavy,2,0.9990516832622096,405.32981514441275,16.856,0.5771383650369809,179.87221923449547,150.46835607514583,4
ecmp,heavy,3,1.0,351.68526876420447,16.324,0.5739841362018258,169.89686961908976,155.89609708247917,0
ecmp,heavy,4,1.0,397.93931799320046,16.464,0.5877065742823634,168.52666526554395,173.1243494046206,0
ecmp,burst,0,0.8546134172732638,452.52370932942296,17.376,0.5359202997218786,269.1243863721175,344.4880551075199,739
ecmp,burst,1,0.8588421887390959,452.597929273869,17.328,0.5312268286461845,272.7043662781551,377.98380464577286,712
ecmp,burst,2,0.8678250683326826,452.3938488622346,17.78,0.5388132749613729,265.2294615736658,347.434124512798,677
ecmp,burst,3,0.8687872763419483,452.40146193614726,17.48,0.5403507642750028,267.7093367302048,360.44405350099737,660
ecmp,burst,4,0.867776886035313,452.28963915614867,17.3,0.5353956709404375,271.6937929798798,380.2931740141139,659
