topology,flow_pairs_id,flows,variant,base_pps,burst_pps,burst_start_ms,burst_end_ms,policy,seed,delivery_ratio,goodput_mbps,p95_latency_ms,delivery_burst,p95_latency_burst,goodput_burst_mbps,service_ratio_bits
NSFNET,0-4_1-4_3-12,3,static,480.0,580.0,,,SP,0,0.6804775280898876,11.628,865.618052166071,,,,
NSFNET,0-4_1-4_3-12,3,static,480.0,580.0,,,ECMP,0,0.9920411985018727,16.952,438.72628084596647,,,,
NSFNET,0-4_1-4_3-12,3,static,480.0,580.0,,,HIER_STAGE3,0,1.0,17.088,56.00000000000034,,,,
NSFNET,0-4_1-4_3-12,3,static,480.0,580.0,,,PPO_CANDIDATE,0,0.9683988764044944,16.548,103.94205348990562,,,,
NSFNET,0-4_1-4_3-12,3,static,480.0,580.0,,,SP,1,0.6763262444496377,11.576,857.3033394790365,,,,
NSFNET,0-4_1-4_3-12,3,static,480.0,580.0,,,ECMP,1,0.9829399392381397,16.824,443.1949683384562,,,,
NSFNET,0-4_1-4_3-12,3,static,480.0,580.0,,,HIER_STAGE3,1,1.0,17.116,56.00000000000023,,,,
NSFNET,0-4_1-4_3-12,3,static,480.0,580.0,,,PPO_CANDIDATE,1,0.9700864688011217,16.604,100.80000000000041,,,,
NSFNET,0-4_1-4_3-12,3,static,480.0,580.0,,,SP,2,0.6704387990762125,11.612,867.1771569175346,,,,
NSFNET,0-4_1-4_3-12,3,static,480.0,580.0,,,ECMP,2,0.9771362586605081,16.924,446.01175879987545,,,,
NSFNET,0-4_1-4_3-12,3,static,480.0,580.0,,,HIER_STAGE3,2,0.9995381062355658,17.312,60.08685611445586,,,,
NSFNET,0-4_1-4_3-12,3,static,480.0,580.0,,,PPO_CANDIDATE,2,0.9685912240184757,16.776,90.68307722792598,,,,
NSFNET,0-4_1-4_3-12,3,static,480.0,580.0,,,SP,3,0.6609660272706263,11.44,867.624167084407,,,,
NSFNET,0-4_1-4_3-12,3,static,480.0,580.0,,,ECMP,3,0.9812803327940837,16.984,447.35004635086614,,,,
NSFNET,0-4_1-4_3-12,3,static,480.0,580.0,,,HIER_STAGE3,3,1.0,17.308,63.575697254531946,,,,
NSFNET,0-4_1-4_3-12,3,static,480.0,580.0,,,PPO_CANDIDATE,3,0.9688005546568061,16.768,112.00000000000045,,,,
NSFNET,0-4_1-4_3-12,3,static,480.0,580.0,,,SP,4,0.6759789329058851,11.808,866.2262510831686,,,,
NSFNET,0-4_1-4_3-12,3,static,480.0,580.0,,,ECMP,4,0.9789329058850469,17.1,447.8557297728848,,,,
NSFNET,0-4_1-4_3-12,3,static,480.0,580.0,,,HIER_STAGE3,4,1.0,17.468,61.31393053078014,,,,
NSFNET,0-4_1-4_3-12,3,static,480.0,580.0,,,PPO_CANDIDATE,4,0.9716052209754981,16.972,100.80000000000021,,,,
NSFNET,0-4_1-4_3-12,3,burst,480.0,580.0,1700.0,2300.0,SP,0,0.6559601900022619,11.6,867.6163167771023,0.5873015873015873,867.5348971273293,11.84,0.5873015873015873
NSFNET,0-4_1-4_3-12,3,burst,480.0,580.0,1700.0,2300.0,ECMP,0,0.9687853426826509,17.132,448.37804788725754,1.0,399.9396157819326,20.16,1.0
NSFNET,0-4_1-4_3-12,3,burst,480.0,580.0,1700.0,2300.0,HIER_STAGE3,0,1.0,17.684,67.72095824894177,1.0,76.00376115841665,20.16,1.0
NSFNET,0-4_1-4_3-12,3,burst,480.0,580.0,1700.0,2300.0,PPO_CANDIDATE,0,0.9701425016964488,17.156,113.07687385407382,0.9682539682539683,179.40912360559776,19.52,0.9682539682539683
NSFNET,0-4_1-4_3-12,3,burst,480.0,580.0,1700.0,2300.0,SP,1,0.6481522956326987,11.576,867.8525382082436,0.6366251198465963,864.8994473553188,13.28,0.6366251198465963
NSFNET,0-4_1-4_3-12,3,burst,480.0,580.0,1700.0,2300.0,ECMP,1,0.9610302351623741,17.164,448.95282511787445,0.9578139980824545,444.46245534761,19.98,0.9578139980824545
